age_category,age_group,min_age,max_age,body_weight,height,calories,protein,fat,carbs,preg_month_min,preg_month_max,bf_month_min,bf_month_max
infants_children,0-5 months,0.0,0.4166666666666667,6.0,60.0,550,9,31.0,59,0.0,0.0,0.0,0.0
infants_children,6-11 months,0.5,0.9166666666666666,9.0,72.0,800,15,35.0,105,0.0,0.0,0.0,0.0
infants_children,1-3 years,1.0,3.0,13.0,92.0,1350,20,45.0,215,0.0,0.0,0.0,0.0
infants_children,4-6 years,4.0,6.0,19.0,113.0,1400,25,50.0,220,0.0,0.0,0.0,0.0
infants_children,7-9 years,7.0,9.0,27.0,130.0,1650,40,55.0,250,0.0,0.0,0.0,0.0
male,10-12 years,10.0,12.0,36.0,145.0,2000,50,65.0,300,0.0,0.0,0.0,0.0
male,13-15 years,13.0,15.0,50.0,163.0,2400,70,80.0,350,0.0,0.0,0.0,0.0
male,16-18 years,16.0,18.0,60.0,168.0,2650,75,85.0,400,0.0,0.0,0.0,0.0
male,19-29 years,19.0,29.0,60.0,168.0,2650,65,75.0,430,0.0,0.0,0.0,0.0
male,30-49 years,30.0,49.0,60.0,166.0,2550,65,70.0,415,0.0,0.0,0.0,0.0
male,50-64 years,50.0,64.0,60.0,166.0,2150,65,60.0,340,0.0,0.0,0.0,0.0
male,65-80 years,65.0,80.0,58.0,164.0,1800,64,50.0,275,0.0,0.0,0.0,0.0
male,80+ years,80.0,100.0,58.0,164.0,1600,64,45.0,235,0.0,0.0,0.0,0.0
female,10-12 years,10.0,12.0,38.0,147.0,1900,55,65.0,280,0.0,0.0,0.0,0.0
female,13-15 years,13.0,15.0,48.0,156.0,2050,65,70.0,300,0.0,0.0,0.0,0.0
female,16-18 years,16.0,18.0,52.0,159.0,2100,65,70.0,300,0.0,0.0,0.0,0.0
female,19-29 years,19.0,29.0,55.0,159.0,2250,60,65.0,360,0.0,0.0,0.0,0.0
female,30-49 years,30.0,49.0,56.0,158.0,2150,60,60.0,340,0.0,0.0,0.0,0.0
female,50-64 years,50.0,64.0,56.0,158.0,1800,60,50.0,280,0.0,0.0,0.0,0.0
female,65-80 years,65.0,80.0,53.0,157.0,1550,58,45.0,230,0.0,0.0,0.0,0.0
female,80+ years,80.0,100.0,53.0,157.0,1400,58,40.0,200,0.0,0.0,0.0,0.0
pregnant,trimester 1,13.0,49.0,,,180,1,2.3,25,0.0,3.0,0.0,0.0
pregnant,trimester 2,13.0,49.0,,,300,10,2.3,40,4.0,6.0,0.0,0.0
pregnant,trimester 3,13.0,49.0,,,300,30,2.3,40,7.0,9.0,0.0,0.0
breastfeeding,first 6 months,13.0,49.0,,,330,20,2.2,45,0.0,0.0,0.0,6.0
breastfeeding,second 6 months,13.0,49.0,,,400,15,2.2,55,0.0,0.0,7.0,12.0
