,name,protein,protein_akg_pct,portion_for_protein
0,Abon,9.2,0.15333333333333332,6.521739130434783
1,Abon haruwan,23.7,0.39499999999999996,2.5316455696202533
2,Agar-agar,0.0,0.0,inf
3,Akar tonjong segar,1.1,0.018333333333333333,54.54545454545454
4,Aletoge segar,4.4,0.07333333333333333,13.636363636363635
5,Ampas kacang hijau,3.7,0.06166666666666667,16.216216216216214
6,Ampas tahu kukus,4.1,0.06833333333333333,14.634146341463415
7,Ampas tahu mentah,5.0,0.08333333333333333,12.0
8,Anak sapi daging kurus segar,19.6,0.3266666666666667,3.061224489795918
9,Andaliman segar,4.6,0.07666666666666666,13.043478260869566
10,Anggur hutan segar,0.5,0.008333333333333333,120.0
11,Anyang sayur,3.4,0.056666666666666664,17.647058823529413
12,Apel,0.3,0.005,200.0
13,Apel malang segar,0.5,0.008333333333333333,120.0
14,Arbei,0.8,0.013333333333333334,75.0
15,Ares sayur,0.9,0.015000000000000001,66.66666666666667
16,Arrowroot segar,1.0,0.016666666666666666,60.0
17,Asam kandis segar,0.2,0.0033333333333333335,300.0
18,Asam masak di pohon,2.8,0.04666666666666666,21.42857142857143
19,Asam payak segar,0.8,0.013333333333333334,75.0
20,Asan kandis kering,0.9,0.015000000000000001,66.66666666666667
21,Ayam,18.2,0.30333333333333334,3.296703296703297
22,Ayam  goreng Kentuckysayap,35.9,0.5983333333333333,1.6713091922005572
23,Ayam ampela goreng,32.3,0.5383333333333333,1.8575851393188856
24,Ayam dideh/darah segar,13.8,0.23,4.3478260869565215
25,Ayam goreng Kentucky paha,32.1,0.535,1.8691588785046729
26,Ayam goreng kalasan paha,37.4,0.6233333333333333,1.6042780748663101
27,Ayam goreng kentucky dada,34.2,0.5700000000000001,1.7543859649122806
28,Ayam goreng mbok berek dada,39.2,0.6533333333333334,1.530612244897959
29,Ayam goreng paha,31.0,0.5166666666666667,1.935483870967742
30,Ayam goreng pasundan dada,37.9,0.6316666666666666,1.58311345646438
31,Ayam goreng pasundan paha,33.1,0.5516666666666666,1.8126888217522659
32,Ayam goreng pioneer dada,37.4,0.6233333333333333,1.6042780748663101
33,Ayam hati segar,27.4,0.45666666666666667,2.18978102189781
34,Ayam taliwang masakan,18.2,0.30333333333333334,3.296703296703297
35,Ayam usus goreng,45.2,0.7533333333333334,1.327433628318584
36,Babat,17.6,0.29333333333333333,3.4090909090909087
37,Babi daging gemuk segar,11.9,0.19833333333333333,5.042016806722689
38,Babi daging kurus segar,14.1,0.235,4.25531914893617
39,Babi hati segar,19.7,0.3283333333333333,3.0456852791878175
40,Babi hutan masak rica masakan,24.6,0.41000000000000003,2.4390243902439024
41,Bacang,3.3,0.055,18.181818181818183
42,Bagea kelapa asin,3.2,0.05333333333333334,18.75
43,Bagea kelapa manis,1.3,0.021666666666666667,46.15384615384615
44,Bagea kenari asin,3.2,0.05333333333333334,18.75
45,Bagea kenari manis,3.2,0.05333333333333334,18.75
46,Baje,1.9,0.03166666666666666,31.578947368421055
47,Bakpia kue,8.7,0.145,6.8965517241379315
48,Bakso ,4.1,0.06833333333333333,14.634146341463415
49,Batar daan,2.2,0.03666666666666667,27.27272727272727
50,Batatas gembili segar,1.1,0.018333333333333333,54.54545454545454
51,Batatas kelapa ubi bakar,1.4,0.02333333333333333,42.85714285714286
52,Batatas kelapa ubi kukus,1.2,0.02,50.0
53,Batatas kelapa ubi segar,1.1,0.018333333333333333,54.54545454545454
54,Batatas tali ubi rebus,2.4,0.04,25.0
55,Bawang Bombay,1.4,0.02333333333333333,42.85714285714286
56,Bawang Merah,1.5,0.025,40.0
57,Bawang Putih,4.5,0.075,13.333333333333334
58,Bayam Merah,4.6,0.07666666666666666,13.043478260869566
59,Bayam kukus,1.3,0.021666666666666667,46.15384615384615
60,Bayam merah segar,2.2,0.03666666666666667,27.27272727272727
61,Bayam rebus,1.2,0.02,50.0
62,Bayam tumis + oncom,3.7,0.06166666666666667,16.216216216216214
63,Bebek (itik),16.0,0.26666666666666666,3.75
64,Bebek alabio daging segar,11.3,0.18833333333333335,5.309734513274336
65,Bebek daging goreng,24.0,0.4,2.5
